Manufacturer,Typecode,nd,vd,ne,ve,PgF,dPgF,PrecisionMolding
CDGM,H-ZLaF66,1.80100,34.9674,1.80642,34.7107,0.587737,0.0016,
CDGM,H-ZLaF66GT,1.80100,34.9674,1.80642,34.7107,0.587737,0.0016,
CDGM,H-ZLaF68C,1.88300,40.8480,1.88814,40.5941,0.567733,-0.0084,
CDGM,H-ZLaF68N,1.88300,39.2187,1.88835,38.9651,0.572896,-0.0060,
CDGM,H-ZLaF68NB,1.88300,39.2360,1.88834,38.9825,0.572600,-0.0063,
CDGM,H-ZLaF68B,1.88300,40.8074,1.88814,40.5589,0.569499,-0.0067,
CDGM,H-ZLaF69,1.81600,46.5499,1.82017,46.2994,0.556986,-0.0095,
CDGM,H-ZLaF69A,1.81600,46.5566,1.82017,46.3034,0.557499,-0.0089,
CDGM,H-ZLaF71,1.85026,32.2977,1.85649,32.0599,0.593123,0.0024,
CDGM,H-ZLaF71AGT,1.85026,32.2172,1.85650,31.9728,0.593798,0.0029,
CDGM,H-ZLaF73,1.88100,40.1618,1.88621,39.9102,0.569361,-0.0080,
CDGM,H-ZLaF75A,1.90366,31.3154,1.91048,31.0820,0.595307,0.0029,
CDGM,H-ZLaF75B,1.90366,31.4188,1.91046,31.1869,0.594325,0.0021,
CDGM,H-ZLaF75C,1.90366,31.3575,1.91047,31.1208,0.595687,0.0034,
CDGM,H-ZLaF76,1.85013,30.0559,1.85681,29.8294,0.600102,0.0056,
CDGM,H-ZLaF76A,1.85013,30.0127,1.85682,29.7804,0.599846,0.0052,
CDGM,H-ZLaF78B,1.90069,37.0510,1.90646,36.8017,0.578059,-0.0046,
CDGM,H-ZLaF89L,1.95375,32.3092,1.96074,32.0741,0.590685,-0.0001,
CDGM,H-ZLaF89LA,1.95375,32.2766,1.96074,32.0424,0.590648,-0.0001,
CDGM,H-ZLaF90,2.00069,25.4261,2.00996,25.2242,0.614181,0.0117,
CDGM,H-ZLaF90A,2.00069,25.4584,2.00995,25.2569,0.613980,0.0117,
CDGM,H-ZLaF91,2.00100,29.1517,2.00911,28.9313,0.600046,0.0039,
CDGM,H-ZLaF92,2.00330,28.3167,2.01167,28.1001,0.603239,0.0057,
CDGM,H-ZLaF92A,2.00330,28.2763,2.01168,28.0604,0.603246,0.0057,
CDGM,H-ZLaF96,2.05090,26.9862,2.06009,26.7811,0.605835,0.0061,
CDGM,H-TF3L,1.61340,44.1076,1.61670,43.8542,0.565681,-0.0050,
CDGM,TF3,1.61242,44.0940,1.61572,43.8648,0.563232,-0.0073,
CDGM,H-TF5,1.65410,39.5399,1.65803,39.3031,0.572528,-0.0059,
CDGM,H-TF29,1.77047,29.8064,1.77658,29.5940,0.595771,0.0008,
CDGM,D-FK61,1.49700,81.6126,1.49845,81.1938,0.538959,0.0322,1
CDGM,D-FK61-25,1.49653,81.5327,1.49798,81.1147,0.538946,0.0321,1
CDGM,D-FK61A,1.49700,81.6064,1.49845,81.2088,0.537757,0.0310,1
CDGM,D-FK61A-25,1.49665,81.5501,1.49810,81.1530,0.537756,0.0309,1
CDGM,D-FK95,1.43780,94.5245,1.43891,94.0870,0.533565,0.0487,1
CDGM,D-FK95-25,1.43744,94.4399,1.43855,94.0038,0.533510,0.0486,1
CDGM,D-QK3L,1.48749,70.4413,1.48914,70.2566,0.529346,0.0035,1
CDGM,D-QK3L-25,1.48687,70.4179,1.48852,70.2361,0.529081,0.0033,1
CDGM,D-K9,1.51633,64.0597,1.51825,63.8654,0.533797,-0.0027,1
CDGM,D-K9-25,1.51577,63.9904,1.51769,63.7964,0.533805,-0.0029,1
CDGM,D-K9GT,1.51633,64.0597,1.51825,63.8654,0.533797,-0.0027,1
CDGM,D-K9GT-25,1.51577,63.9904,1.51769,63.7964,0.533805,-0.0029,1
CDGM,D-K59,1.51760,63.5007,1.51954,63.3016,0.535022,-0.0025,1
CDGM,D-K59-25,1.51698,63.4092,1.51893,63.2120,0.534780,-0.0029,1
CDGM,D-PK3,1.52500,70.3714,1.52678,70.1664,0.530741,0.0048,1
CDGM,D-PK3-25,1.52368,70.2757,1.52546,70.0704,0.530836,0.0047,1
CDGM,D-ZPK1A,1.62087,63.8293,1.62319,63.5179,0.543319,0.0063,1
CDGM,D-ZPK1A-25,1.61999,63.7646,1.62231,63.4529,0.543382,0.0062,1
CDGM,D-ZPK3,1.59419,67.2962,1.59630,67.0367,0.536685,0.0057,1
CDGM,D-ZPK3-25,1.59327,67.2272,1.59538,66.9673,0.536773,0.0054,1
CDGM,D-ZPK5,1.59280,68.3428,1.59487,67.9689,0.544742,0.0154,1
CDGM,D-ZPK5-25,1.59216,68.2823,1.59423,67.9079,0.544839,0.0154,1
CDGM,D-ZPK7,1.56907,71.3051,1.57097,70.9065,0.544333,0.0200,1
CDGM,D-ZPK7-25,1.56854,71.2362,1.57044,70.8382,0.544338,0.0199,1
CDGM,D-ZK2,1.58313,59.3824,1.58547,59.1410,0.541264,-0.0033,1
CDGM,D-ZK2-25,1.58241,59.3090,1.58475,59.0682,0.541242,-0.0035,1
CDGM,D-ZK2A,1.58313,59.5405,1.58547,59.2921,0.542054,-0.0022,1
CDGM,D-ZK2A-25,1.58229,59.4543,1.58463,59.2067,0.542040,-0.0024,1
CDGM,D-ZK2L,1.58700,59.6010,1.58935,59.3624,0.540884,-0.0033,1
CDGM,D-ZK2L-25,1.58625,59.5256,1.58860,59.2874,0.540901,-0.0035,1
CDGM,D-ZK3,1.58913,61.1536,1.59143,60.9498,0.536266,-0.0053,1
CDGM,D-ZK3-25,1.58833,61.2851,1.59062,61.0728,0.537377,-0.0039,1
CDGM,D-ZK3A,1.58913,61.1023,1.59143,60.8933,0.537352,-0.0044,1
CDGM,D-ZK3A-25,1.58828,61.0132,1.59058,60.8049,0.537348,-0.0046,1
CDGM,D-ZK3L,1.59170,60.7019,1.59403,60.4876,0.537923,-0.0045,1
CDGM,D-ZK3L-25,1.59090,60.6192,1.59323,60.4055,0.537925,-0.0046,1
CDGM,D-ZK21,1.62446,58.2086,1.62702,57.9958,0.540056,-0.0065,1
CDGM,D-ZK21-25,1.62346,58.1158,1.62602,57.9036,0.540061,-0.0066,1
CDGM,D-ZK79,1.60886,57.8966,1.61137,57.6329,0.544689,-0.0024,1
CDGM,D-ZK79-25,1.60809,57.8215,1.61060,57.5585,0.544686,-0.0026,1
CDGM,D-LaK5,1.67790,54.8903,1.68084,54.6525,0.545498,-0.0067,1
CDGM,D-LaK5-25,1.67686,54.8061,1.67980,54.5689,0.545497,-0.0069,1
CDGM,D-LaK6,1.69384,53.1289,1.69695,52.8941,0.547040,-0.0082,1
CDGM,D-LaK6-25,1.69281,53.0498,1.69592,52.8158,0.547034,-0.0083,1
CDGM,D-LaK52,1.73050,53.9449,1.73373,53.7133,0.545619,-0.0083,1
CDGM,D-LaK52-25,1.72924,53.8519,1.73247,53.6210,0.545616,-0.0084,1
CDGM,D-LaK70,1.66910,55.3903,1.67198,55.1545,0.544850,-0.0066,1
CDGM,D-LaK70-25,1.66800,55.2964,1.67088,55.0609,0.544874,-0.0067,1
CDGM,D-ZF10,1.68893,31.0781,1.69417,30.8361,0.599736,0.0070,1
CDGM,D-ZF10-25,1.68731,31.1842,1.69252,30.9421,0.599290,0.0067,1
CDGM,D-ZF93,2.00170,20.7005,2.01305,20.5242,0.638969,0.0285,1
CDGM,D-ZF93-25,1.99980,20.6867,2.01114,20.5107,0.638771,0.0283,1
CDGM,D-LaF50,1.77400,49.5910,1.77772,49.3215,0.554819,-0.0065,1
CDGM,D-LaF50-25,1.77288,49.5199,1.77660,49.2512,0.554825,-0.0066,1
CDGM,D-LaF050,1.76842,49.2827,1.77213,49.0410,0.552448,-0.0094,1
CDGM,D-LaF050-25,1.76709,49.1981,1.77080,48.9572,0.552435,-0.0095,1
CDGM,D-LaF53,1.74330,49.3265,1.74689,49.0819,0.552819,-0.0089,1
CDGM,D-LaF53-25,1.74210,49.2466,1.74569,49.0028,0.552822,-0.0090,1
CDGM,D-LaF79,1.73077,40.5085,1.73505,40.2516,0.572019,-0.0047,1
CDGM,D-LaF79-25,1.72986,40.4981,1.73414,40.2420,0.571876,-0.0049,1
CDGM,D-ZLaF50,1.80337,45.4921,1.80757,45.2402,0.559296,-0.0089,1
CDGM,D-ZLaF50-25,1.80225,45.4533,1.80645,45.2015,0.559383,-0.0090,1
CDGM,D-ZLaF52LA,1.81000,40.9934,1.81469,40.7362,0.569976,-0.0060,1
CDGM,D-ZLaF52LA-25,1.80882,40.9708,1.81351,40.7134,0.570060,-0.0058,1
CDGM,D-ZLaF61,1.82241,42.7151,1.82699,42.4530,0.566353,-0.0068,1
CDGM,D-ZLaF61-25,1.82131,42.6754,1.82588,42.4141,0.566306,-0.0068,1
CDGM,D-ZLaF67,1.88385,37.1994,1.88949,36.9490,0.577724,-0.0047,1
CDGM,D-ZLaF67-25,1.88259,37.1859,1.88822,36.9355,0.577769,-0.0047,1
CDGM,D-ZLaF81,1.80880,40.9999,1.81349,40.7428,0.569995,-0.0059,1
CDGM,D-ZLaF81-25,1.80757,40.9738,1.81225,40.7178,0.569874,-0.0060,1
CDGM,D-ZLaF85A,1.85222,40.1087,1.85727,39.8579,0.569964,-0.0075,1
CDGM,D-ZLaF85A-25,1.85110,40.0561,1.85615,39.8056,0.569955,-0.0075,1
CDGM,D-ZLaF85LN,1.84558,40.0948,1.85059,39.8382,0.571480,-0.0060,1
CDGM,D-ZLaF85LN-25,1.84443,40.0685,1.84943,39.8127,0.571346,-0.0062,1
CDGM,D-ZLaF85L,1.85370,40.5799,1.85870,40.3292,0.568485,-0.0081,1
CDGM,D-ZLaF85L-25,1.85260,40.5346,1.85760,40.2832,0.568659,-0.0081,1
CDGM,D-ZLaF85LS,1.85450,40.5940,1.85950,40.3420,0.568647,-0.0080,1
CDGM,D-ZLaF85LS-25,1.85344,40.5584,1.85844,40.3065,0.568684,-0.0080,1
Sumita,K-CaFK95,1.43425,95.0000,1.43535,94.3476,0.532104,0.0496,1
Sumita,K-PFK80,1.49700,81.5000,1.49846,80.9634,0.536996,0.0309,1
Sumita,K-PFK85,1.48563,85.2000,1.48699,84.7385,0.538599,0.0381,1
Sumita,K-GFK68,1.59240,90.0000,1.59447,67.9731,0.546464,0.0444,1
