Manufacturer,Typecode,nd,vd,"P_g,F","d_Pg,F"
Hikari,J-KZFH1,1.6127,44.46,0.564,-0.0058
Hoya,BaCD2,1.6074,56.72,0.548086,0.002
Hikari,J-SK2,1.6074,56.74,0.5476,-0.0016
Ohara,S-BSM2,1.6074,56.8,0.5483,-0.0013
Hoya,LBC3N,1.6063,63.72,0.544118,0.0108
Hikari,J-BAF4,1.6056,43.49,0.5727,0.0013
Ohara,S-BAM4,1.6056,43.7,0.5721,0.0013
Ohara,S-TIM5,1.6034,38,0.5835,0.0036
Hoya,E-F5,1.6034,38.01,0.582494,0.0029
Hikari,J-F5,1.6034,38.03,0.5829,0.0024
Ohara,S-BSM14,1.6031,60.7,0.5415,-0.0019
Hikari,J-SK14,1.6031,60.69,0.5411,-0.0014
Hoya,BaCD14,1.6031,60.7,0.541793,0.002
Ohara,S-PHM53,1.603,65.5,0.5401,0.0045
Hikari,J-PSK03,1.603,65.44,0.5389,0.0043
Hikari,J-F8,1.5955,39.21,0.5806,0.002
Hoya,E-F8,1.5955,39.22,0.581028,0.0026
Ohara,S-TIM8,1.5955,39.2,0.5803,0.0023
Ohara,S-FPM2,1.5952,67.7,0.5442,0.0123
Hoya,FCD600,1.5941,60.47,0.55499,0.0156
Hoya,PCD51,1.5935,67,0.536117,0.0088
Hikari,J-PSKH4,1.5935,67,0.5358,0.0038
Hikari,J-PSKH1,1.5932,67.9,0.544,0.0135
Hoya,FCD515,1.5928,68.62,0.545771,0.0192
Hoya,FCD505,1.5928,68.62,0.545771,0.0192
Ohara,S-FTM16,1.5927,35.3,0.5933,0.009
Hikari,J-F16,1.5927,35.27,0.5936,0.0084
Hoya,FF5,1.5927,35.45,0.592703,0.0082
Hikari,Q-PSKH1S,1.5926,67.86,0.5441,0.0136
Hikari,Q-PSKH4S,1.5925,66.92,0.5359,0.0038
Ohara,L-BAL35P,1.5921,61,0.5382,-0.0046
Hoya,M-PCD51,1.592,67.02,0.536806,0.0081
Ohara,L-BAL35,1.5891,61.15,0.5382,-0.0043
Ohara,S-BAL35,1.5891,61.2,0.5407,-0.0018
Hikari,J-SK5,1.5891,61.22,0.5401,-0.0016
Hoya,BaCD5,1.5891,61.25,0.539501,0.0022
Hoya,M-BACD5N,1.5891,61.25,0.537422,-0.0007
Hikari,Q-SK55S,1.5889,61.14,0.5384,-0.0034
Ohara,L-BAL42P,1.5859,59.24,0.5425,-0.0031
Ohara,L-BAL43,1.5857,59.7,0.5415,-0.0034
Ohara,L-BAL42,1.5831,59.38,0.5423,-0.0031
Hikari,J-SK12,1.5831,59.42,0.5429,-0.0018
Hoya,M-BACD12,1.5831,59.46,0.541837,-0.0008
Ohara,S-BAL42,1.5831,59.4,0.5434,-0.002
Hikari,Q-SK52S,1.5829,59.51,0.5408,-0.0037
Hikari,J-BAF3,1.5827,46.48,0.5663,-0.0001
Hoya,E-FL5,1.5814,40.89,0.576653,0.002
Hikari,J-LF5,1.5814,40.98,0.5763,0.0007
Ohara,S-TIL25,1.5814,40.7,0.5774,0.0019
Hikari,J-BALF4,1.5796,53.74,0.5519,-0.0023
Hikari,J-LF7,1.575,41.51,0.5765,0.0017
Ohara,S-TIL27,1.575,41.5,0.5767,0.0024
Hikari,J-BAK1,1.5725,57.3,0.5471,-0.0011
Ohara,S-BAL3,1.5714,53,0.5553,-0.0005
Ohara,S-BAL2,1.571,50.8,0.5588,-0.0005
Ohara,S-BAL14,1.5688,56.3,0.5489,-0.0014
Hikari,J-BAK4,1.5688,56,0.5484,-0.002
Hoya,BaC4,1.5688,56.04,0.548768,0.001
Ohara,S-TIL26,1.5673,42.8,0.5731,0.0009
Hikari,J-LF6,1.5673,42.58,0.5754,0.0024
Hoya,E-FL6,1.5673,42.84,0.574773,0.0031
Hikari,J-SK11,1.5638,60.71,0.5411,-0.0014
Hoya,BaCD11,1.5638,60.83,0.540453,0.0019
Ohara,S-BAL41,1.5638,60.7,0.5402,-0.0031
Hoya,FCD500,1.554,71.76,0.53886,0.0207
Hoya,M-FCD500,1.5533,71.69,0.540155,0.0211
Hikari,J-KZFH4,1.553,55.07,0.5447,-0.0073
Ohara,S-FPM5,1.552,70.7,0.5421,0.015
Hoya,FCD705,1.5503,75.5,0.540466,0.0276
Ohara,S-TIL1,1.5481,45.8,0.5686,0.0012
Hikari,J-LLF1,1.5481,45.51,0.5685,0.0005
Hoya,E-FEL1,1.5481,45.82,0.570234,0.0041
Hikari,J-LLF2,1.5407,46.97,0.5654,-0.0001
Ohara,S-TIL2,1.5407,47.2,0.5651,0
Hoya,E-FEL2,1.5407,47.2,0.56719,0.0044
Hikari,J-BAK2,1.54,59.52,0.5437,-0.0008
Ohara,S-BAL12,1.54,59.5,0.5441,-0.0012
Ohara,S-FPM3,1.5378,74.7,0.5392,0.0186
Hikari,J-LLF6,1.5317,48.78,0.5622,-0.0003
Hoya,E-FEL6,1.5317,48.84,0.566176,0.0052
Ohara,S-TIL6,1.5317,48.9,0.5631,0.0007
Ohara,S-FPM4,1.5284,76.5,0.5396,0.0218
Hikari,J-K5,1.5225,59.21,0.544,-0.001
Hikari,J-PKH1,1.5186,69.89,0.5318,0.0047
Hikari,J-K3,1.5182,58.82,0.5449,-0.0008
Hoya,E-C3,1.5182,58.96,0.5438,0.002
Ohara,S-NSL3,1.5182,59,0.5457,-0.0005
Hoya,E-CF6,1.5174,52.15,0.558468,0.0045
Hikari,J-KF6,1.5174,52.2,0.5579,0.0011
Ohara,S-NSL36,1.5174,52.4,0.5564,-0.0002
Hikari,J-BK7A,1.5168,64.14,0.5357,-0.001
Hoya,BSC7,1.5168,64.2,0.534161,0.0015
Ohara,L-BSL7,1.5163,64.06,0.5333,-0.0045
Ohara,S-BSL7,1.5163,64.1,0.5353,-0.0024
Hikari,J-FKH1,1.4978,82.57,0.5386,0.0327
Hikari,Q-FKH1S,1.4973,82.51,0.5386,0.0327
Hoya,FCD1B,1.4971,81.56,0.537705,0.0369
Hoya,M-FCD1,1.4971,81.56,0.537705,0.0369
Hoya,FCD1,1.497,81.61,0.538588,0.0374
Hikari,J-FK01A,1.497,81.65,0.5372,0.0298
Ohara,S-FPL51,1.497,81.6,0.5375,0.028
Hikari,Q-FK01AS,1.4965,81.6,0.5372,0.0298
Ohara,S-FSL5,1.4875,70.2,0.53,0.0022
Hikari,J-FK5,1.4875,70.31,0.5291,0.0027
Hoya,FC5,1.4875,70.44,0.530347,0.009
Reference,FusedSilica,1.4585,67.83,0.527663,-0.002100
Hoya,FCD10,1.4565,90.27,0.533597,0.048800
Hikari,J-FKH2,1.4560,91.36,0.534200,0.043100
Hikari,Q-FKH2S,1.4556,91.31,0.534300,0.043100
Ohara,S-FPL53,1.4388,94.95,0.534000,0.046100
Ohara,S-FPL55,1.4388,94.66,0.534000,0.045700
Hoya,FCD100,1.4370,95.10,0.532609,0.056400
Reference,Fluorite,1.4338,95.17,0.538925,0.055200
